# Dynamic Analysis - Mode: CUSTOM (PARTIAL RESULTS)
# Test RPMs: [3.4]
# Timestamp: 20260407_132507
"# Cell numbering: Row 1 = cells 1-6, Row 2 = cells 7-12, Row 3 = cells 13-18"
# Completed cells: [1]
# WARNING: Experiment was terminated early - these are partial results

row,cell,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%
1,1,-65.500,3.4,10.06,0.060
1,1,-65.500,3.4,20.07,0.030
1,1,-65.700,3.4,10.07,0.020
1,1,-65.700,3.4,20.06,0.000
1,1,-65.700,3.4,30.06,0.010
1,1,-65.900,3.4,10.06,0.040
1,1,-65.900,3.4,20.07,0.000
1,1,-65.900,3.4,30.08,0.000
1,1,-66.100,3.4,10.06,0.030
1,1,-66.100,3.4,20.07,0.020
1,1,-66.300,3.4,10.06,9.320
1,1,-66.300,3.4,20.07,9.820
1,1,-66.300,3.4,30.07,14.830
